id,Name,Type,latitude,longitude
1,Hyundai Yacht,Recreation,37.5071000 ,126.9847000 
2,Sooseong-dong,Park,37.5825000 ,126.9624000 
3,Gyeongbokgung,Historic Site,37.5779000 ,126.9767000 
4,Changgyeonggung,Historic Site,37.5794000 ,126.9947000 
5,Myeongdong Cathedral,Cathedral,37.5634000 ,126.9873000 
6,N Seoul Tower,Park,37.5517000 ,126.9891000 
7,Seoul Arts Center,Cultural Facility,37.4790000 ,127.0112000 
8,Garosoo-gil,Commercial Area,37.5206000 ,127.0229000 
9,Palgagjeong,Park,37.6016803 ,126.9810186 
10,Olympic Park,Commercial Area,37.5197000 ,127.1215000 
11,Usadan-ro,Commercial Area,37.5330000 ,126.9956000 
12,Seoul Forest,Park,37.5447000 ,127.0396000 
13,Geumnam Market,Market,37.5485000 ,127.0228000 
14,Kundae,Commercial Area,37.5427347 ,127.0688300 
15,MyArt Museum,Cultural Facility,37.5080000 ,127.0619000 
16,Lotte World,Amusement Park,37.5116000 ,127.0991000 
17,Worldcup Park,Park,37.5680000 ,126.8864000 
18,Hongdae,Commercial Area,37.5537000 ,126.9233000 
19,Yongsan Station,Shopping Complex,37.5298119 ,126.9641726 
20,Korea University,University,37.5882740 ,127.0292901 
